player,position,number,nat.,url,marketValue
Ángel Rodríguez,Centre-Forward,9,Spain,https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510,3.0
Jorge Molina,Centre-Forward,19,Spain,https://www.transfermarkt.com/jorge-molina/profil/spieler/57825,2.0
Hugo Duro,Centre-Forward,27,Spain,https://www.transfermarkt.com/hugo-duro/profil/spieler/573775,2.0
Chuli,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/chuli/profil/spieler/129515,0.4
Bono,Goalkeeper,13,"['Morocco', 'Canada']",https://www.transfermarkt.com/bono/profil/spieler/207834,5.0
José Aurelio Suárez,Goalkeeper,unknown,Spain,https://www.transfermarkt.com/jose-aurelio-suarez/profil/spieler/223720,0.25
Gorka Iraizoz,Goalkeeper,1,Spain,https://www.transfermarkt.com/gorka-iraizoz/profil/spieler/7874,0.2
Marc Vito,Goalkeeper,unknown,Spain,https://www.transfermarkt.com/marc-vito/profil/spieler/378947,0.15
Juanpe,Centre-Back,15,Spain,https://www.transfermarkt.com/juanpe/profil/spieler/115333,7.0
Bernardo Espinosa,Centre-Back,2,"['Colombia', 'Spain']",https://www.transfermarkt.com/bernardo-espinosa/profil/spieler/64598,6.0
Jonás Ramalho,Centre-Back,4,"['Angola', 'Spain']",https://www.transfermarkt.com/jonas-ramalho/profil/spieler/69660,3.0
Marc Muniesa,Centre-Back,20,Spain,https://www.transfermarkt.com/marc-muniesa/profil/spieler/74228,3.0
Pedro Alcalá,Centre-Back,5,Spain,https://www.transfermarkt.com/pedro-alcala/profil/spieler/51663,0.8
Johan Mojica,Left-Back,3,"['Colombia', 'Spain']",https://www.transfermarkt.com/johan-mojica/profil/spieler/262939,3.0
Aday Benítez,Left-Back,11,Spain,https://www.transfermarkt.com/aday-benitez/profil/spieler/132921,1.5
Raúl Carnero,Left-Back,14,Spain,https://www.transfermarkt.com/raul-carnero/profil/spieler/139434,1.0
Carles Planas,Left-Back,21,Spain,https://www.transfermarkt.com/carles-planas/profil/spieler/66099,0.8
Pedro Porro,Right-Back,24,Spain,https://www.transfermarkt.com/pedro-porro/profil/spieler/553875,10.0
Pere Pons,Defensive Midfield,8,Spain,https://www.transfermarkt.com/pere-pons/profil/spieler/242497,4.0
Douglas Luiz,Defensive Midfield,unknown,Brazil,https://www.transfermarkt.com/douglas-luiz/profil/spieler/447661,2.5
David Timor,Defensive Midfield,unknown,Spain,https://www.transfermarkt.com/david-timor/profil/spieler/158795,1.5
Álex Granell,Central Midfield,6,Spain,https://www.transfermarkt.com/alex-granell/profil/spieler/255284,5.0
Aleix García,Central Midfield,unknown,Spain,https://www.transfermarkt.com/aleix-garcia/profil/spieler/261504,3.0
Seung-ho Paik,Central Midfield,unknown,"Korea, South",https://www.transfermarkt.com/seung-ho-paik/profil/spieler/282689,0.3
Èric Montes,Central Midfield,unknown,Spain,https://www.transfermarkt.com/eric-montes/profil/spieler/293383,0.3
Borja García,Attacking Midfield,10,Spain,https://www.transfermarkt.com/borja-garcia/profil/spieler/67808,7.0
Jairo Izquierdo,Left Winger,unknown,Spain,https://www.transfermarkt.com/jairo-izquierdo/profil/spieler/337946,0.8
Yhoan Andzouana,Left Winger,unknown,"['Congo', 'France']",https://www.transfermarkt.com/yhoan-andzouana/profil/spieler/342218,0.25
Portu,Right Winger,9,Spain,https://www.transfermarkt.com/portu/profil/spieler/99353,10.0
Patrick Roberts,Right Winger,unknown,England,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,5.0
Valery Fernández,Right Winger,34,Spain,https://www.transfermarkt.com/valery-fernandez/profil/spieler/331496,5.0
Sebas Coris,Right Winger,unknown,Spain,https://www.transfermarkt.com/sebas-coris/profil/spieler/243715,0.5
Cristhian Stuani,Centre-Forward,7,"['Uruguay', 'Italy']",https://www.transfermarkt.com/cristhian-stuani/profil/spieler/59323,7.0
Choco Lozano,Centre-Forward,19,"['Honduras', 'Spain']",https://www.transfermarkt.com/choco-lozano/profil/spieler/131275,1.5
Seydou Doumbia,Centre-Forward,22,Cote d'Ivoire,https://www.transfermarkt.com/seydou-doumbia/profil/spieler/75287,1.5
Kévin Soni,Centre-Forward,unknown,Cameroon,https://www.transfermarkt.com/kevin-soni/profil/spieler/353959,0.3
Álex Pachón,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/alex-pachon/profil/spieler/533110,0.1
Oier Olazábal,Goalkeeper,13,Spain,https://www.transfermarkt.com/oier-olazabal/profil/spieler/8176,2.5
Aitor Fernández,Goalkeeper,25,Spain,https://www.transfermarkt.com/aitor-fernandez/profil/spieler/118997,2.5
